,date,supplier_name,scrap_code,value,weight
0,2020-01-16,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50003,279.22,2428
1,2020-02-18,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50002,313.75,2510
2,2020-03-12,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50003,303.6,2640
3,2020-03-12,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50002,330.0,2640
4,2020-01-15,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50002,899.25,7194
5,2020-01-22,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50002,940.5,7524
6,2020-01-15,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,1998.25,15986
7,2020-01-22,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,2182.0,17456
8,2020-03-12,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,2630.0,21040
9,2020-01-16,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,2704.0,21632
10,2020-02-18,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,2823.75,22590
11,2020-03-04,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,3025.0,24200
12,2020-02-20,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,3030.0,24240
13,2020-03-05,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,3085.0,24680
14,2020-02-26,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,3110.0,24880
15,2020-03-03,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,3147.5,25180
16,2020-02-27,ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,50010,3315.0,26520
17,2020-03-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,136.71,1302
18,2020-03-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,149.73,1302
19,2020-02-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,128.576,1312
20,2020-02-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,150.88,1312
21,2020-01-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,130.83,1335
22,2020-01-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,153.525,1335
23,2020-02-26,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,141.33,1346
24,2020-02-26,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,154.79,1346
25,2020-02-18,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,132.692,1354
26,2020-01-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,133.378,1361
27,2020-01-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,156.515,1361
28,2020-01-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,251.272,2564
29,2020-01-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,269.22,2564
30,2020-01-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,294.86,2564
31,2020-01-10,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,254.996,2602
32,2020-01-10,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,273.21,2602
33,2020-01-10,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,299.23,2602
34,2020-03-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,255.192,2604
35,2020-03-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,255.584,2608
36,2020-03-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,273.84,2608
37,2020-03-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,299.92,2608
38,2020-02-17,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,255.78,2610
